Origin City,Origin State,Origin Zip Code,Destination City,Destination State,Destination Zip Code,Truck Type,ID (or Optional field),Note: Omit the header line when submitting your request
MILWAUKEE,WI,,JACKSONVILLE,FL,,VAN,,
MILWAUKEE,WI,,NEW ORLEANS,LA,,VAN,,
JACKSONVILLE,FL,,ATLANTA,GA,,VAN,,
JACKSONVILLE,FL,,CHICAGO,IL,,VAN,,
JACKSONVILLE,FL,,DALLAS,TX,,VAN,,
JACKSONVILLE,FL,,LOS ANGELES,CA,,VAN,,
JACKSONVILLE,FL,,PHILADELPHIA,PA,,VAN,,
JACKSONVILLE,FL,,SEATTLE,WA,,VAN,,
JACKSONVILLE,FL,,HOUSTON,TX,,VAN,,
JACKSONVILLE,FL,,MINNEAPOLIS,MN,,VAN,,
JACKSONVILLE,FL,,MEMPHIS,TN,,VAN,,
JACKSONVILLE,FL,,COLUMBUS,OH,,VAN,,
JACKSONVILLE,FL,,LOUISVILLE,KY,,VAN,,
JACKSONVILLE,FL,,CHARLOTTE,NC,,VAN,,
JACKSONVILLE,FL,,DETROIT,MI,,VAN,,
JACKSONVILLE,FL,,ST LOUIS,MO,,VAN,,
JACKSONVILLE,FL,,BALTIMORE,MD,,VAN,,
JACKSONVILLE,FL,,MILWAUKEE,WI,,VAN,,
JACKSONVILLE,FL,,NEW ORLEANS,LA,,VAN,,
NEW ORLEANS,LA,,ATLANTA,GA,,VAN,,
NEW ORLEANS,LA,,CHICAGO,IL,,VAN,,
NEW ORLEANS,LA,,DALLAS,TX,,VAN,,
NEW ORLEANS,LA,,LOS ANGELES,CA,,VAN,,
NEW ORLEANS,LA,,PHILADELPHIA,PA,,VAN,,
NEW ORLEANS,LA,,SEATTLE,WA,,VAN,,
NEW ORLEANS,LA,,HOUSTON,TX,,VAN,,
NEW ORLEANS,LA,,MINNEAPOLIS,MN,,VAN,,
NEW ORLEANS,LA,,MEMPHIS,TN,,VAN,,
NEW ORLEANS,LA,,COLUMBUS,OH,,VAN,,
NEW ORLEANS,LA,,LOUISVILLE,KY,,VAN,,
NEW ORLEANS,LA,,CHARLOTTE,NC,,VAN,,
NEW ORLEANS,LA,,DETROIT,MI,,VAN,,
NEW ORLEANS,LA,,ST LOUIS,MO,,VAN,,
NEW ORLEANS,LA,,BALTIMORE,MD,,VAN,,
NEW ORLEANS,LA,,MILWAUKEE,WI,,VAN,,
NEW ORLEANS,LA,,JACKSONVILLE,FL,,VAN,,
